District,Tehsil,Farmer,Cold Storage,Pre-harvest Contractor,Commission Agent,Retailer,Wholesaler,X,Y
Kalat,Johan,500,0,0,0,0,0,67.14402913,29.28325111
Kalat,Kalat,1000,0,300,0,0,0,66.49180732,28.97543147
Kalat,Mangocher,1256,0,250,0,0,0,66.61484693,29.41890818
Killa Abdullah,Chaman,5,0,25,0,0,0,67.97582431,30.81237422
Killa Abdullah,Dobandi,700,0,100,0,0,0,66.96842168,31.10875687
Killa Abdullah,Gulistan,1050,2,300,0,0,0,66.58184075,30.41624536
Killa Abdullah,Killa Abdullah,1159,12,300,0,0,0,66.72269242,30.76450725
Killa Saifullah,Killah Saifullah,1200,0,7,0,0,0,68.54316822,30.83121761
Killa Saifullah,Loiband,540,0,3,0,0,0,67.84220458,31.08886114
Killa Saifullah,Muslimbagh,2100,0,11,0,0,0,67.97090683,30.77206741
Pishin,Barshore,700,0,115,0,0,0,67.40836965,31.00207532
Pishin,Bostan,200,0,45,0,0,0,67,30.45
Pishin,Hurramzai,500,0,85,0,0,0,66.94085164,30.85883811
Pishin,Karezat,850,0,75,0,0,0,67.27586057,30.5996286
Pishin,Pishin,1000,1,105,0,0,0,66.99564892,30.68329521
Quetta,Quetta,700,32,100,258,2000,866,66.97060351,30.22248588
