District,Tehsil,Kaja,Mashadi,TorKolu,ShinKulu,Amri,Other,n_obs,X,Y
Kalat,Kalat,0,0,100,100,0,0,1,66.49180732,28.97543147
Kalat,Mangocher,56.52173913,26.08695652,95.65217391,95.65217391,4.347826087,0,23,66.61484693,29.41890818
Killah Abdullah,Chaman,33.33333333,0,100,16.66666667,0,0,6,67.97582431,30.81237422
Killah Abdullah,Dobandi,27.77777778,0,100,77.77777778,0,0,18,66.96842168,31.10875687
Killah Abdullah,Gulistan,85.71428571,26.78571429,98.21428571,91.07142857,23.21428571,30.35714286,56,66.58184075,30.41624536
Killah Abdullah,Killah Abdullah,66.26506024,15.6626506,97.59036145,79.51807229,24.09638554,13.25301205,83,66.72269242,30.76450725
Killah Saifullah,Killah Saifullah,100,1.666666667,90,46.66666667,1.666666667,5,60,68.54316822,30.83121761
Killah Saifullah,Loiband,82.14285714,0,92.85714286,14.28571429,0,35.71428571,28,67.84220458,31.08886114
Killah Saifullah,Muslimbagh,71.71717172,1.01010101,94.94949495,25.25252525,1.01010101,7.070707071,99,67.97090683,30.77206741
Pishin,Bashore,63.88888889,0,100,30.55555556,5.555555556,2.777777778,36,67.40836965,31.00207532
Pishin,Bostan,100,20,90,20,0,0,10,67,30.45
Pishin,Hurramzai,17.39130435,4.347826087,100,95.65217391,4.347826087,0,23,66.94085164,30.85883811
Pishin,Karezat,91.89189189,2.702702703,91.89189189,13.51351351,0,0,37,67.27586057,30.5996286
Pishin,Nana Sab,100,0,100,0,0,0,2,67.6,30.6
Pishin,Pishin,51.61290323,3.225806452,100,80.64516129,4.838709677,3.225806452,62,66.99564892,30.68329521
Quetta,Quetta City,54.28571429,0,80,42.85714286,11.42857143,2.857142857,35,66.97060351,30.22248588
